#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
255.0,2153,3340.366792
180.0,2419,3344.559722
445.0,3835,3351.388556
295.0,2193,3355.29507
135.0,2377,3359.520483
390.0,2570,3364.00942
570.0,3485,3370.099475
515.0,4089,3377.177148
500.0,2921,3382.241432
220.0,2781,3387.086156
230.0,1875,3390.353918
380.0,2239,3394.255666
370.0,2893,3399.28666
335.0,2887,3404.300737
320.0,2599,3408.846643
380.0,3237,3414.669382
380.0,2615,3419.241535
835.0,4051,3426.29472
420.0,2426,3430.527515
535.0,3953,3437.415449
555.0,3287,3443.102586
250.0,2975,3448.305328
185.0,1957,3451.689669
390.0,3073,3464.144025
315.0,2565,3468.712202
250.0,2419,3473.159482
400.0,3185,3478.815271
325.0,2575,3483.364164
470.0,3307,3489.207845
425.0,3437,3495.290941
635.0,2879,3500.371149
695.0,3305,3506.161072
350.0,2289,3510.134001
290.0,2715,3514.892176
450.0,2673,3519.59483
395.0,2663,3524.273522
525.0,3065,3529.645041
820.0,2775,3534.738689
250.0,2011,3538.289744
435.0,3115,3543.750678
250.0,2737,3548.605822
335.0,2217,3552.466733
485.0,2871,3557.525172
525.0,2691,3562.253446
80.0,1627,3565.081412
280.0,3331,3570.967496
260.0,2613,3575.606564
430.0,3333,3581.516669
305.0,2435,3585.78171
540.0,3891,3592.809636
285.0,2599,3597.373874
375.0,2713,3602.158529
570.0,3837,3608.901702
390.0,2779,3613.76032
350.0,2545,3618.264547
315.0,2573,3622.797236
330.0,2520,3627.256478
215.0,2225,3631.151521
435.0,3191,3636.772569
615.0,3291,3650.496698
320.0,2387,3654.861182
400.0,3367,3660.770395
685.0,4431,3668.581495
570.0,3059,3673.996861
295.0,2873,3679.072692
245.0,2275,3683.070917
640.0,3199,3688.747941
315.0,3311,3694.581863
290.0,2341,3698.745169
420.0,3616,3705.279999
415.0,2717,3710.098608
550.0,2659,3714.934857
410.0,2775,3719.805324
160.0,2015,3723.356404
580.0,3185,3728.968984
295.0,2445,3733.226244
800.0,3689,3739.693647
490.0,3001,3744.952076
490.0,3309,3750.711292
610.0,3505,3756.766288
575.0,4062,3763.805285
310.0,3247,3769.52587
340.0,2507,3774.143621
440.0,3147,3779.736996
585.0,3229,3785.781854
250.0,2247,3790.011844
500.0,3561,3796.658258
575.0,4388,3804.851276
310.0,1913,3808.440659
330.0,2457,3813.052012
770.0,3406,3819.401078
230.0,2383,3823.82316
320.0,3011,3829.490571
415.0,2763,3841.938708
410.0,3099,3847.912292
545.0,4395,3856.243872
345.0,2565,3861.096201
450.0,2929,3866.645459
390.0,2621,3871.707719
465.0,3483,3878.334164
270.0,2522,3883.142932
605.0,3695,3890.22024
380.0,2549,3895.184391
365.0,3319,3901.574015
465.0,2993,3907.308042
340.0,2395,3911.862449
280.0,3087,3917.738675
355.0,3701,3924.825553
300.0,3375,3931.285596
255.0,2405,3935.890191
195.0,2725,3941.132715
275.0,2201,3945.307836
305.0,2621,3950.300044
385.0,3009,3956.071136
290.0,2727,3961.257733
305.0,3383,3967.691798
515.0,3307,3973.981798
540.0,3471,3980.571032
335.0,2455,3985.212138
410.0,3911,3992.68738
500.0,3207,3998.812429
770.0,4263,4006.912633
380.0,3177,4013.047746
545.0,2984,4018.707775
195.0,2035,4022.569582
435.0,3815,4029.89236
310.0,2089,4041.487703
365.0,3900,4048.919153
185.0,2881,4054.402238
310.0,3447,4060.979089
200.0,2151,4065.055998
525.0,5009,4074.64891
325.0,2777,4079.951417
480.0,2651,4085.063443
335.0,3013,4090.857529
435.0,3373,4097.299678
290.0,3053,4103.177283
340.0,2595,4108.098148
425.0,3093,4114.057484
465.0,3781,4121.286894
395.0,2365,4125.77335
320.0,2747,4131.010445
200.0,2151,4135.204803
515.0,3789,4142.393259
140.0,1925,4146.053544
325.0,2331,4150.50012
470.0,3119,4156.472747
365.0,2777,4161.775803
335.0,2301,4166.178662
165.0,2137,4170.291654
300.0,2047,4174.17578
380.0,2973,4179.820993
345.0,3043,4185.642769
480.0,3601,4192.587357
465.0,3131,4198.528512
350.0,3303,4204.799526
455.0,3347,4211.173757
535.0,3101,4217.089897
545.0,3151,4223.122451
480.0,3391,4229.539715
525.0,3193,4243.415147
360.0,3057,4249.264479
750.0,3935,4256.803744
525.0,2759,4262.080679
460.0,3855,4269.429298
185.0,1843,4272.925499
405.0,3005,4278.627832
305.0,3059,4284.467041
240.0,2497,4289.251662
480.0,3371,4295.671093
245.0,2299,4300.04366
155.0,2665,4305.131483
395.0,2612,4310.074494
200.0,2745,4315.389977
435.0,2707,4320.579521
240.0,3247,4326.749115
460.0,3451,4333.340694
400.0,3445,4339.842632
515.0,3725,4346.964955
